Year,RealGDP,GrossKformation,population,TradeOpenness,BanksCreditperGDP,BanksFIperGDP,RExports,RImports
1960,795050887100.00,143205757600.00,26273023.00,23.42,11.31,15.1,154104520300.00,166582119000.00
1961,839705550800.00,166263879900.00,27164618.00,26.62,12.57,16.86,159202839900.00,169594540800.00
1962,879785719900.00,165289257200.00,28081234.00,36.18,14.63,19.63,184502696100.00,170951519400.00
1963,941902880000.00,194856899200.00,29016770.00,35.57,15.55,20.39,219727486600.00,162906823300.00
1964,974370104100.00,215392213900.00,29962877.00,36.68,17.8,22.9,232904826700.00,196473817400.00
1965,1025678587000.00,228712097600.00,30913931.00,38.34,17.75,22.92,264569593800.00,208277101300.00
1966,1071075061500.00,228860402100.00,31867565.00,38.75,17.87,23.15,280703640300.00,218265295500.00
1967,1128100706400.00,252836289900.00,32826602.00,40.57,18.4,23.99,240224684200.00,268244442300.00
1968,1183890002700.00,254600732700.00,33797041.00,36.39,18.82,25.04,213138824700.00,285194525800.00
1969,1239016166400.00,266134256600.00,34787588.00,32.5,18.43,25.28,203821193100.00,294925900600.00
1970,1285660229200.00,255676890700.00,35804731.00,42.62,17.44,24.42,245830446300.00,278808745000.00
1971,1355453983700.00,270378045800.00,36851055.00,40.87,17.74,25.09,254221109400.00,277215770300.00
1972,1429282730700.00,280196561600.00,37925400.00,39.15,19.26,27,285969780300.00,285465227400.00
1973,1556783995200.00,313397747500.00,39026082.00,44.66,19.19,26.12,331862711800.00,300881335300.00
1974,1612176161300.00,378625091600.00,40149959.00,52.37,20.28,26.02,293996847900.00,346581314800.00
1975,1701890115100.00,469805716300.00,41295129.00,48.13,21.68,27.14,304385288000.00,367633568400.00
1976,1851769290200.00,558438546500.00,42461189.00,44.58,22.17,28.61,343433835700.00,373623708500.00
1977,1955506435000.00,563868771400.00,43650333.00,45.18,23.07,30.7,399803109500.00,397910499000.00
1978,2056647247600.00,609504715900.00,44866279.00,45.6,24.49,32.61,424012170300.00,448562929200.00
1979,2172635483600.00,636055017100.00,46113992.00,48.2,26.17,34.52,442219909200.00,520805545600.00
1980,2284502557400.00,612501226600.00,47396966.00,52.04,28.89,38.43,618303967400.00,622880864400.00
1981,2362707229300.00,629849045800.00,48715592.00,51.01,30.22,41.3,676890773500.00,617952707400.00
1982,2448221344300.00,682873594600.00,50068493.00,46.47,31.72,44.22,604555266600.00,633073820000.00
1983,2494116104800.00,726577778500.00,51455037.00,49.42,31.11,43.5,625404066600.00,613732539200.00
1984,2311454958000.00,457834884500.00,52873979.00,49.1,26.99,38.15,653824441100.00,506468773500.00
1985,2142565985800.00,311998361800.00,54323651.00,45.91,21.59,30.11,548753361500.00,434528093400.00
1986,2215772812000.00,343385670000.00,55803915.00,48.7,16.81,21.31,641570077500.00,479006445300.00
1987,2311308844100.00,411012504300.00,57312794.00,52.86,14.59,17.03,685361347700.00,616130677500.00
1988,2467381001900.00,471380025200.00,58844392.00,55.33,15.28,17.79,784958518500.00,736991991800.00
1989,2620489669500.00,567777924900.00,60391168.00,58.38,15.67,18.4,854601022200.00,848857684300.00
1990,2700073057500.00,657677047000.00,61947340.00,60.8,16.59,19.42,870491339800.00,934087035600.00
1991,2684457599400.00,543961749500.00,63509940.00,62.18,17.58,20.8,925030649900.00,923644201500.00
1992,2693520409600.00,586570762000.00,65078901.00,63.16,18.54,22.53,964650561900.00,1003931513700.00
1993,2750523575400.00,632754292200.00,66654954.00,71.17,22.52,27.39,1024663780800.00,1119413501700.00
1994,2871206189800.00,687512862400.00,68240134.00,73.96,26.61,32.59,1227454120900.00,1281754627200.00
1995,3005541090400.00,711599027900.00,69835713.00,80.54,31.9,38.77,1375193720100.00,1487036658500.00
1996,3181241219700.00,800235660800.00,71437381.00,89.8,41.26,47.6,1587037985300.00,1735939820000.00
1997,3346200101800.00,893827183700.00,73042605.00,108.25,50.19,55.72,1859219109300.00,1970124450700.00
1998,3326901823300.00,748344310200.00,74656228.00,98.66,45.66,50.55,1468154276100.00,1680553582700.00
1999,3429434501000.00,650557425400.00,76285225.00,94.91,39.21,43.71,1617422113300.00,1709106050200.00
2000,3580714144600.00,657691195600.00,77932247.00,104.73,35.7,39.85,1839387577700.00,1910689324100.00
2001,3684339740200.00,815374270300.00,79604541.00,98.91,33.68,37.78,1709418173500.00,1933823051500.00
2002,3818667014300.00,943085944500.00,81294378.00,102.44,30.98,34.89,1789115773000.00,2128383099000.00
2003,4008468654600.00,938864296000.00,82971734.00,101.85,28.86,32.72,1869817508800.00,2184394661700.00
2004,4276941311300.00,917874671000.00,84596249.00,102.64,26.95,30.86,2108405524400.00,2319697320000.00
2005,4481279173600.00,945023754700.00,86141373.00,97.88,25.16,29.17,2212822484500.00,2395225942900.00
2006,4716230536300.00,802113322600.00,87592899.00,94.94,23.44,27.76,2491584970800.00,2478452219000.00
2007,5028287876800.00,798328302500.00,88965508.00,86.62,22.42,26.95,2659710547800.00,2521141051600.00
2008,5237100460900.00,984809513100.00,90297115.00,76.28,25.18,27.45,2588548138400.00,2561488144700.00
2009,5297239678000.00,899332529100.00,91641881.00,65.59,28.65,28.65,2385811792600.00,2354109344600.00
2010,5701538990500.00,1183649751500.00,93038902.00,71.42,27.79,27.79,2886133268800.00,2884279713900.00
2011,5910201356700.00,1216883608200.00,94501233.00,67.7,29.87,29.87,2812968032700.00,2868159626100.00
2012,6305228000000.00,1164718000000.00,96017322.00,64.9,31.48,31.48,3054290000000.00,3028479000000.00
2013,6750079000000.00,1487903000000.00,97571676.00,60.23,33.13,33.13,3024868000000.00,3160940000000.00
2014,7164017000000.00,1568346000000.00,99138690.00,61.05,36.13,36.13,3365953000000.00,3435378000000.00
