Month_Index,Date,USD/PHP - Close
122,7/31/12,41.74
123,8/31/12,42.08
124,9/28/12,41.72
125,10/31/12,41.2
126,11/30/12,40.89
127,12/31/12,41.06
128,1/31/13,40.69
129,2/28/13,40.66
130,3/28/13,40.81
131,4/30/13,41.16
132,5/31/13,42.27
133,6/28/13,43.2
134,7/31/13,43.43
135,8/30/13,44.6
136,9/30/13,43.54
137,10/31/13,43.21
138,11/29/13,43.77
139,12/31/13,44.38
140,1/31/14,45.32
141,2/28/14,44.63
142,3/31/14,44.84
143,4/30/14,44.58
144,5/30/14,43.76
145,6/30/14,43.65
146,7/31/14,43.48
147,8/29/14,43.6
148,9/30/14,44.88
149,10/31/14,44.88
150,11/28/14,44.91
151,12/31/14,44.73
152,1/30/15,44.09
153,2/27/15,44.09
154,3/31/15,44.7
155,4/30/15,44.53
156,5/29/15,44.59
157,6/30/15,45.09
158,7/31/15,45.73
159,8/31/15,46.74
160,9/30/15,46.74
161,10/30/15,46.82
162,11/30/15,47.14
163,12/31/15,47.05
164,1/29/16,47.65
165,2/29/16,47.55
166,3/31/16,46.05
167,4/29/16,46.89
168,5/31/16,46.77
169,6/30/16,47.05
170,7/29/16,47.11
171,8/31/16,46.59
172,9/30/16,48.49
173,10/31/16,48.42
174,11/30/16,49.73
175,12/30/16,49.71
176,1/31/17,49.76
177,2/28/17,50.22
178,3/31/17,50.17
179,4/28/17,49.97
180,5/31/17,49.77
181,6/30/17,50.46
182,7/31/17,50.46
183,8/31/17,51.17
184,9/29/17,50.8
185,10/31/17,51.62
186,11/30/17,50.26
187,12/29/17,49.92
188,1/31/18,51.3
189,2/28/18,52.08
190,3/29/18,52.18
191,4/30/18,51.75
192,5/31/18,52.54
193,6/29/18,53.37
194,7/31/18,53.11
195,8/31/18,53.47
196,9/28/18,54.03
197,10/31/18,53.51
198,11/30/18,52.42
199,12/31/18,52.59
200,1/31/19,52.11
201,2/28/19,51.72
202,3/29/19,52.51
203,4/30/19,52.11
204,5/31/19,52.16
205,6/28/19,51.23
206,7/31/19,50.89
207,8/30/19,52.06
208,9/30/19,51.83
209,10/31/19,50.74
210,11/29/19,50.81
211,12/31/19,50.64
212,1/31/20,50.83
213,2/28/20,50.98
214,3/31/20,50.86
215,4/30/20,50.41
216,5/29/20,50.62
217,6/30/20,49.83
218,7/31/20,49.14
219,8/31/20,48.48
220,9/30/20,48.48
221,10/30/20,48.4
222,11/30/20,48.08
223,12/31/20,48.02
224,1/29/21,48.08
225,2/26/21,48.52
226,3/31/21,48.54
227,4/30/21,48.15
228,5/28/21,47.7
229,6/30/21,48.81
230,7/30/21,49.98
231,8/31/21,49.75
232,9/30/21,51.01
233,10/29/21,50.41
234,11/30/21,50.38
235,12/31/21,50.99
236,1/31/22,50.98
237,2/28/22,51.27
238,3/31/22,51.74
239,4/29/22,52.2
240,5/31/22,52.39
241,6/30/22,54.98
,,
